workflow,process,a,c,M,runtime_sec,safe_old_bytes,safe_new_bytes,OOM_old,OOM_new,waste_old_GBh,waste_new_GBh
iwd,demToGraph,30900785.0,,317276160.0,6.491,320080600.5161239,418530646.3884821,0,0,4.7092903897373665e-06,0.000170029200806913
iwd,demToGraph,30900740.0,,290910208.0,6.175,319636688.5044726,433774143.8295391,0,0,4.588988948901039e-05,0.00022822183964241196
iwd,demToGraph,30915939.0,,289476608.0,6.179,304364667.235916,354966734.8575369,0,0,2.3798737162394316e-05,0.00010468673526328073
iwd,demToGraph,30901050.0,,313004032.0,6.521,318071441.79775923,339028030.72274685,0,0,8.548656295154029e-06,4.390215699639383e-05
iwd,demToGraph,30915393.0,,291749888.0,5.89,304905854.51172817,364115903.3374357,0,0,2.0046367298107725e-05,0.00011026751413980096
iwd,demToGraph,30916034.0,,291991552.0,5.826,305324808.7958825,354634951.70386875,0,0,2.0095756197972113e-05,9.441552856387035e-05
iwd,demToGraph,30900965.0,,289542144.0,5.972,314410993.9756878,362728685.5880761,0,0,3.84213951454621e-05,0.00011307032840015745
iwd,demToGraph,30901012.0,,290250752.0,5.995,313944650.3210418,349425919.94784003,0,0,3.674712250284585e-05,9.17754063194672e-05
iwd,demToGraph,30901050.0,,289943552.0,6.206,318071441.79775923,339028030.72274685,0,0,4.515923251421031e-05,7.880496558458209e-05
iwd,demToGraph,30900956.0,,306642944.0,6.461,321685436.5724641,365333217.43460464,0,0,2.514300467205612e-05,9.809875670949324e-05
iwd,demToGraph,30915825.0,,292757504.0,5.858,306403396.1230112,356857803.81980574,0,0,2.0679923616918695e-05,9.714200377268251e-05
iwd,demToGraph,30911620.0,,290144256.0,5.763,304547723.2177442,309008227.6951385,0,0,2.147401723800115e-05,2.8124148667449354e-05
iwd,demToGraph,30900966.0,,289517568.0,6.13,321133975.7468516,362440441.8113466,0,0,5.0138418119866516e-05,0.0001156436735928562
iwd,demToGraph,30915939.0,,288653312.0,6.081,304364667.235916,354966734.8575369,0,0,2.471646066072224e-05,0.00010432156123549004
iwd,demToGraph,30916993.0,,291254272.0,5.829,304826812.8334313,385553315.51213104,0,0,2.046693647230434e-05,0.0001421997956497522
iwd,demToGraph,30901049.0,,311017472.0,6.415,320688562.75546473,339297654.19851655,0,0,1.604980457892493e-05,4.6932803053896165e-05
iwd,demToGraph,30901015.0,,292638720.0,5.978,312189514.4608554,348593564.9966834,0,0,3.023555535590114e-05,8.653488822234108e-05
iwd,demToGraph,30900785.0,,308830208.0,6.342,320080600.5161239,418530646.3884821,0,0,1.8458293268989387e-05,0.00017998330819207176
iwd,demToGraph,30900956.0,,316780544.0,6.774,321685436.5724641,365333217.43460464,0,0,8.595523291441268e-06,8.50855812238974e-05
iwd,demToGraph,30900355.0,,289382400.0,6.223,309150866.7583562,589097384.2974691,0,0,3.1825146906194465e-05,0.000482509519926363
iwd,demToGraph,30901013.0,,314466304.0,6.511,327111206.4923794,349148247.6927509,0,0,2.1299078265795497e-05,5.8418278319425085e-05
iwd,demToGraph,30918041.0,,289988608.0,6.013,304046034.87380266,422430387.8337348,0,0,2.1867274977312163e-05,0.00020602211515011662
iwd,demToGraph,30917543.0,,290091008.0,5.97,307360527.83149743,404486621.4269577,0,0,2.6671793672473394e-05,0.00017667753522567284
iwd,demToGraph,30900965.0,,289931264.0,6.266,314410993.9756878,362728685.5880761,0,0,3.968209960282153e-05,0.00011800598034192418
iwd,demToGraph,30900469.0,,289832960.0,6.127,321581979.5362447,538056367.5621326,0,0,5.032407810564132e-05,0.00039344881612941683
iwd,demToGraph,30900926.0,,308486144.0,6.596,320961175.40141535,374150818.71383023,0,0,2.1287267800973012e-05,0.00011204953885234276
iwd,demToGraph,30900985.0,,311562240.0,6.921,325117244.5825718,357007125.48376286,0,0,2.4269797196606448e-05,8.136759730291935e-05
iwd,demToGraph,30900469.0,,314781696.0,6.647,321581979.5362447,538056367.5621326,0,0,1.169365640973322e-05,0.00038393947551272585
iwd,demToGraph,30900925.0,,290291712.0,6.223,319685001.8263125,374448375.94779015,0,0,4.732009711290983e-05,0.0001354833546785581
iwd,demToGraph,30900568.0,,293601280.0,6.111,315886000.4323239,497333177.01249534,0,0,3.5230361794931606e-05,0.0003220838449697111
